age,sex,body_weight,r_form,r_resorp,r_to,FBFR,TFBFR,CFBFR,f_form,f_resorp,net_accretion,k3,k4,Ki
0.1,F,4.269610095451814,11.203260263286369,9.99460959848869,1.0,1.120326026328637,3.64105958556807,0.4901426365187786,0.14541400149118894,0.129726181567093,0.01568781992409593,1.4788303547538009,0.01998921919697738,0.09025407528999767
0.6,F,7.24663505148066,8.006003702520292,7.176091418191705,1.0,0.8006003702520292,2.601951203319095,0.3502626619852628,0.1763704246410212,0.15808764743524062,0.018282777205780587,1.0567924887326787,0.01435218283638341,0.08519975947964185
1.1,F,9.509120073946074,5.810627840113822,5.240773853458554,1.0,0.5810627840113822,1.8884540480369922,0.2542149680049797,0.16797203182343504,0.15149884947292078,0.01647318235051426,0.7670028748950246,0.010481547706917109,0.07931909922418429
1.6,F,11.294453305931043,4.303186983125479,3.911900369985407,1.0,0.43031869831254793,1.3985357695157807,0.1882644305117397,0.14775051912070705,0.13431563924141385,0.013434879879293204,0.5680206817725633,0.007823800739970814,0.07289187013899731
2.1,F,12.748513576303738,3.268112335989007,2.9994378649976072,1.0,0.32681123359890074,1.0621365091964274,0.14297991469951907,0.12665726643209443,0.11624465800333254,0.01041260842876189,0.431390828350549,0.005998875729995214,0.06633019460755896
2.6,F,13.967066748526046,2.557385071337405,2.3729013872133535,1.0,0.2557385071337405,0.8311501481846566,0.11188559687101146,0.10858627069888287,0.10075311507115203,0.007833155627730834,0.33757482941653744,0.004745802774426707,0.060081336803988465
3.1,F,15.016975041420054,2.0693697293882107,1.9426947153587075,1.0,0.20693697293882107,0.6725451620511685,0.09053492566073422,0.09447004767618651,0.08868713008306665,0.005782917593119857,0.2731568042792438,0.0038853894307174152,0.054512379433583606
3.6,F,15.947968552748842,1.7342830703988554,1.647299660356878,1.0,0.17342830703988554,0.563641997879628,0.07587488432994992,0.08408120727958839,0.07986409286818902,0.004217114411399367,0.22892536529264892,0.003294599320713756,0.04983533504449194
4.1,F,16.799675539203488,1.5042293725627027,1.4444875708381524,1.0,0.1504229372562703,0.4888745460828784,0.06581003504961824,0.07682251880260287,0.07377144443189926,0.0030510743707036075,0.19855827717827676,0.002888975141676305,0.04609965131062302
4.6,F,17.606131935186873,1.3464116651358171,1.305317152614112,1.0,0.1346411665135817,0.4375837911691406,0.05890551034969199,0.07206350830298577,0.06986402145880702,0.002199486844178755,0.17772633979792787,0.0026106343052282243,0.04323583473819167
