c_bone,mean,median,std,hdi_lower,hdi_upper
100.0,100.83342674735046,100.12169032292115,1.580207165480431,100.00000010375385,104.00828227840944
250.5050505050505,100.15254743300247,100.0333948254594,0.24771706603376564,100.00000006490812,100.69286375167279
401.010101010101,99.38514941066757,99.81392699199864,0.8859559531473328,97.41906871928954,99.99999818012961
551.5151515151515,98.51453922833981,99.42331362593922,1.9280703195683881,94.45043307432586,99.99997307145033
702.020202020202,97.53439960144854,98.84934195227515,2.90741812255177,91.70112441884814,99.99980015619064
852.5252525252524,96.44100292035002,98.05734833753971,3.83304785849503,88.97656145235072,99.99901407675793
1003.030303030303,95.23198315990396,97.06062237671176,4.705628800386113,86.34403788518901,99.99629537110256
1153.5353535353534,93.90604847770008,95.74499128245016,5.521278103161054,83.79235012383181,99.98843732867967
1304.040404040404,92.46296601970602,94.27336134165168,6.273654097311859,81.47566645399708,99.96862588520685
1454.5454545454545,90.90373571451596,92.51934945799135,6.955682459139001,78.76129658102165,99.94614182408475
1605.0505050505049,89.23097840279114,90.53030754228942,7.561216249124699,76.32542589621127,99.91405051445804
1755.5555555555554,87.44953544614944,88.57717569780382,8.086399446263377,73.85603168993481,99.73310537763788
1906.060606060606,85.5671183075909,86.64569684805528,8.529990612051684,71.37885982983215,99.31715542044309
2056.5656565656564,83.59465625526639,84.48408140911997,8.892376271786896,69.1418050802018,98.8455321207065
2207.0707070707067,81.54611322412296,81.98746762072938,9.174881415186595,66.36261875704548,98.11333560825784
2357.5757575757575,79.43797787278051,79.73378876082947,9.38084456578122,63.68101790279946,96.65065332769487
2508.080808080808,77.28873045866368,77.22504419448046,9.517023953698532,60.49459568397849,94.4108401872909
2658.585858585858,75.1182868210516,74.8978575274043,9.593639350961585,58.9627822632507,93.41869302052451
2809.090909090909,72.94731883925068,72.748258436786,9.623557965557007,56.51766945559365,91.69140165364736
2959.5959595959594,70.79647510906595,70.63596100304005,9.621378399929167,54.6964337438576,90.18245792507635
3110.1010101010097,68.68554842456062,68.84212412097372,9.602048545104697,52.14135151549855,87.47913369239514
3260.6060606060605,66.63259380809701,66.8451920271717,9.578711569777342,49.5869815257728,84.40357602111547
3411.111111111111,64.65305839440305,64.74178772552446,9.560574203119954,47.692620745714734,81.88932107041619
3561.616161616161,62.75909469420572,62.87760257546108,9.552015377722599,45.58646585956009,79.9696956019907
3712.121212121212,60.95923498601365,60.76892424268499,9.553288905935373,45.306031367126984,80.03257199372997
3862.6262626262624,59.25847947103786,59.23864506778219,9.562119226881595,40.76713044276678,75.76065010423466
4013.1313131313127,57.65870892676184,57.65523104720063,9.575275456898103,40.34693869308076,75.10016895813749
4163.636363636363,56.1592699168217,56.27763109933832,9.589645081147511,39.67990449052806,74.53795146717485
4314.141414141413,54.75759686919318,54.816505085983884,9.6027710924522,37.958171598694065,72.88142490665138
4464.646464646465,53.449783862584766,53.53695534047719,9.613005780112854,37.39531349001263,72.39736027072975
4615.151515151515,52.23106463334357,52.30325790928508,9.619447683265602,35.79414048786521,70.36980937971373
4765.656565656565,51.09619036189274,50.991437661556056,9.621783601689607,34.8156679583329,69.42249483365825
4916.161616161616,50.0397120925596,49.94831550062125,9.620110618090965,33.91049482666239,68.52891489736044
5066.666666666666,49.056182353939654,48.95517005755818,9.614777593951171,32.89079029969603,67.51484082664595
5217.171717171716,48.14029249268992,47.901345408439234,9.606261943065457,32.14190571882576,66.76568059036099
5367.676767676767,47.28696113719683,47.05869926597077,9.595083440403291,31.21026195137041,66.1143649953363
5518.181818181818,46.491386811312516,46.09053648159983,9.58174980712345,29.90830554177377,65.1443347077237
5668.686868686868,45.74907502910537,45.21176740179967,9.566726387530906,29.510818506172594,64.76848208223699
5819.191919191919,45.055847726618225,44.2890713608673,9.550422406677916,29.109746903320875,64.2800968644463
5969.696969696969,44.40784082581226,43.56435332575058,9.533187649652433,28.302901981212646,63.256759608797154
6120.202020202019,43.80149411026026,42.99494117817492,9.515315057361473,27.724534028633308,62.77407424628394
6270.70707070707,43.23353637406981,42.33036604013806,9.49704623023997,27.219887585569058,62.2328947214319
6421.212121212121,42.700967910512986,41.74058178389655,9.478577993175541,26.285574134675706,61.10043216260914
6571.717171717171,42.201041760334334,41.16949816965915,9.460068986015232,24.638242249692123,59.51121628706322
6722.222222222222,41.73124467789296,40.73669717872246,9.441645763091895,26.309345902453625,61.3267564272183
6872.727272727272,41.28927844600617,40.3103857876157,9.423408191799702,26.013068561491632,60.95483213841347
7023.232323232322,40.873041939914735,39.890065949561915,9.405434106820527,25.671934282436393,60.691081405042056
7173.737373737373,40.48061417969108,39.53213317518949,9.387783258283624,23.129063826482003,57.99620321746918
7324.242424242424,40.11023849881173,39.126974230818334,9.370500626191774,22.922989564788253,57.65104768894953
7474.747474747474,39.76030788032655,38.735014814747245,9.353619182817754,22.516140257114117,57.15047217721576
7625.252525252525,39.42935146088516,38.34865190694864,9.33716218250305,22.451450275988964,56.98787484612081
7775.757575757575,39.11602216952767,38.09222441397947,9.321145051231351,22.045809155299487,56.173528248144066
7926.262626262625,38.81908544736209,37.669777795985,9.30557693983402,21.705029207281722,55.77188785581857
8076.767676767676,38.537408982253936,37.45642619734437,9.290461996190825,21.66949608780596,55.5524583017459
8227.272727272726,38.269953386735395,37.19158082725113,9.275800403898483,21.530511602601386,55.30759718417468
8377.777777777777,38.01576374556166,36.90239479506002,9.261589227780119,21.050018540903377,54.73968795149732
8528.282828282827,37.77396196029793,36.74512933306148,9.24782310032351,20.883979511005517,54.47142864636484
8678.787878787878,37.543739821047225,36.465716646436384,9.23449477763709,20.65532640414457,54.209101531841306
8829.29292929293,37.32435273922422,36.25807916664972,9.221595588745748,20.779051065201113,54.222300144828765
